id,filtered_words_array,features,label_index
R170,"['avoid', 'assume', 'rock', 'responsibility.', 'produce', 'try', 'religious', 'establish', 'war', 'red', 'exist.', 'section', 'staff', 'style', 'particular', 'letter', 'firm', 'another.', 'thing', 'design', 'arrive', 'interest.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']","(10000,[52,564,574,795,1020,1388,1511,1648,2227,2523,2664,2923,3614,3857,3922,4293,4506,4687,4693,6224,6968,7391,7963,8000,8719,8894,8984,9462],[3.8187108282864943,3.7316994512968646,4.137164559405029,5.117993812416755,2.579019941358479,4.137164559405029,4.830311739964974,3.914021008090819,2.7200985396183848,5.523458920524919,4.019381523748645,4.42484663185681,0.6832166123573445,4.830311739964974,3.914021008090819,4.019381523748645,0.691153161953081,0.6871770135734415,4.42484663185681,4.42484663185681,4.42484663185681,4.42484663185681,4.019381523748645,4.42484663185681,4.607168188650764,4.270695952029551,4.019381523748645,0.691153161953081])",1.0
F110,"['manager', 'heart', 'lawyer', 'loss', 'must', 'common', 'game.', 'interesting', 'among', 'age.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[503,1023,1652,3486,3634,4262,4921,5329,5498,5850,6332,7281,7362,7936,8338,9021,9808],[0.691153161953081,3.7316994512968646,4.270695952029551,2.849310271098391,4.42484663185681,4.830311739964974,2.849310271098391,4.137164559405029,5.523458920524919,0.691153161953081,4.019381523748645,0.6871770135734415,4.607168188650764,0.691153161953081,0.691153161953081,4.137164559405029,4.019381523748645])",0.0
F048,"['agreement', 'tonight', 'smile', 'table', 'key', 'mouth.', 'student', 'act', 'cover', 'i.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,564,2713,3131,3283,3389,3536,3892,3931,5850,6104,6747,6928,7281,7936,8338,8413],[0.691153161953081,3.7316994512968646,3.7316994512968646,3.6516567436233283,5.117993812416755,4.019381523748645,4.42484663185681,2.5530444549552183,3.8187108282864943,0.691153161953081,4.019381523748645,2.5530444549552183,3.7316994512968646,0.6871770135734415,0.691153161953081,0.691153161953081,3.4440173788450834])",0.0
F082,"['congress', 'professor', 'hot', 'rest.', 'issue', 'popular', 'call', 'business', 'indicate.', 'despite', 'issue', 'allow', 'box.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[503,1301,2543,2989,4377,4528,4835,5146,5374,5850,6148,6616,7281,7936,8338,8728,8774,9693],[0.691153161953081,4.137164559405029,3.7316994512968646,5.117993812416755,2.60568818844064,5.523458920524919,4.270695952029551,4.019381523748645,4.019381523748645,0.691153161953081,3.914021008090819,8.84969326371362,0.6871770135734415,0.691153161953081,0.691153161953081,3.2721671219184243,4.270695952029551,4.830311739964974])",0.0
F187,"['three', 'candidate', 'study', 'yet', 'court.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[481,503,1256,4037,4224,4358,5850,5925,7281,7860,7936,8338],[5.117993812416755,0.691153161953081,3.125563647726549,3.914021008090819,4.270695952029551,4.270695952029551,0.691153161953081,3.914021008090819,0.6871770135734415,2.997730276216664,0.691153161953081,0.691153161953081])",0.0
F027,"['place', 'career', 'discover.', 'move', 'western', 'born', 'build', 'night.', 'poor', 'huge', 'whose', 'off.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,524,1256,1848,2198,3014,3222,4930,5850,6282,6390,7281,7860,7936,8103,8338,9078,9539,9545],[0.691153161953081,3.8187108282864943,3.125563647726549,5.117993812416755,4.137164559405029,3.914021008090819,5.117993812416755,3.5085558999826545,0.691153161953081,4.019381523748645,4.019381523748645,0.6871770135734415,2.997730276216664,0.691153161953081,4.137164559405029,0.691153161953081,4.830311739964974,4.019381523748645,4.270695952029551])",0.0
F202,"['specific', 'really', 'general', 'daughter', 'factor', 'either.', 'federal', 'end', 'member', 'difficult', 'job', 'low.', 'fast', 'last', 'subject', 'teacher', 'life', 'hour.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[453,503,557,633,1712,2059,3477,3989,4112,4377,5465,5850,6790,7281,7623,7632,7825,7936,8338,8546,8655,8708,9263,9561],[4.42484663185681,0.691153161953081,3.8187108282864943,4.137164559405029,4.270695952029551,2.60568818844064,4.42484663185681,4.607168188650764,4.270695952029551,2.60568818844064,3.914021008090819,0.691153161953081,4.607168188650764,0.6871770135734415,4.137164559405029,4.607168188650764,4.830311739964974,0.691153161953081,0.691153161953081,5.523458920524919,3.6516567436233283,4.019381523748645,4.42484663185681,3.914021008090819])",0.0
F197,"['somebody', 'around', 'popular', 'campaign.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,3089,3892,5850,5856,6148,6197,6747,7281,7936,8338],[0.691153161953081,4.270695952029551,2.5530444549552183,0.691153161953081,4.830311739964974,3.914021008090819,4.137164559405029,2.5530444549552183,0.6871770135734415,0.691153161953081,0.691153161953081])",0.0
R128,"['stock', 'responsibility', 'wish', 'produce', 'manager', 'suddenly.', 'condition', 'body', 'difficult', 'main.', 'little', 'say', 'risk', 'thought', 'face', 'experience', 'husband.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[55,495,793,821,841,1590,1648,1652,1712,2041,2059,3502,3614,3635,4034,4506,4687,5328,5862,8794,9142,9462,9668],[4.270695952029551,4.137164559405029,3.7316994512968646,2.849310271098391,4.42484663185681,3.914021008090819,3.914021008090819,4.270695952029551,4.270695952029551,5.117993812416755,2.60568818844064,4.019381523748645,0.6832166123573445,4.607168188650764,3.914021008090819,0.691153161953081,0.6871770135734415,3.6516567436233283,4.607168188650764,4.830311739964974,4.42484663185681,0.691153161953081,5.523458920524919])",1.0
F157,"['training', 'hit', 'knowledge', 'century.', 'move', 'month', 'mrs.', 'share', 'memory', 'deal.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,641,2259,2788,3947,5741,5850,6282,6941,7281,7538,7864,7936,8252,8338,9470,9813],[0.691153161953081,5.117993812416755,2.7826188965997183,5.117993812416755,4.137164559405029,4.137164559405029,0.691153161953081,4.019381523748645,4.270695952029551,0.6871770135734415,4.607168188650764,4.42484663185681,0.691153161953081,4.42484663185681,0.691153161953081,4.607168188650764,2.997730276216664])",0.0
F117,"['wait', 'yet', 'north', 'opportunity', 'discuss.', 'business', 'popular', 'support.', 'every', 'evidence', 'put', 'tonight', 'oil', 'type', 'its.', 'season', 'character', 'bank.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[503,659,1778,2054,2358,3389,3526,4037,4377,4867,5374,5477,5850,6035,6148,6976,7015,7281,7936,8338,8731,8871,9615,9681],[0.691153161953081,4.42484663185681,4.137164559405029,4.42484663185681,4.270695952029551,4.019381523748645,4.607168188650764,3.914021008090819,2.60568818844064,4.830311739964974,4.019381523748645,4.607168188650764,0.691153161953081,3.577548771469606,3.914021008090819,4.137164559405029,4.607168188650764,0.6871770135734415,0.691153161953081,0.691153161953081,5.523458920524919,4.270695952029551,5.523458920524919,3.914021008090819])",0.0
F173,"['language', 'particularly', 'miss', 'employee', 'politics', 'week', 'already', 'house.', 'girl', 'great', 'left', 'capital.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[101,503,594,750,1029,1071,1662,1716,3756,3892,5122,5850,5887,6443,6548,6747,7281,7936,8338],[5.523458920524919,0.691153161953081,3.914021008090819,4.607168188650764,4.019381523748645,4.607168188650764,3.914021008090819,4.137164559405029,4.607168188650764,2.5530444549552183,4.270695952029551,0.691153161953081,4.019381523748645,3.6516567436233283,4.42484663185681,2.5530444549552183,0.6871770135734415,0.691153161953081,0.691153161953081])",0.0
F024,"['exactly', 'across', 'lead', 'former', 'get', 'beyond.', 'director', 'blood', 'person', 'thank', 'money', 'grow', 'number', 'even.', 'ground', 'heavy', 'expert', 'cost', 'girl', 'process', 'recent.', 'blood', 'agent', 'speak', 'interview.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[142,503,650,914,1029,1687,1853,2096,2359,2404,3249,4160,4490,4732,5016,5138,5356,5850,6103,6487,7074,7117,7177,7281,7936,8040,8338,8519,8949,9426],[5.523458920524919,0.691153161953081,2.958509563063383,4.270695952029551,4.019381523748645,4.270695952029551,4.137164559405029,4.42484663185681,8.541391904059102,4.42484663185681,4.019381523748645,3.914021008090819,4.019381523748645,3.6516567436233283,3.8187108282864943,5.117993812416755,4.42484663185681,0.691153161953081,4.137164559405029,4.270695952029551,3.5085558999826545,4.607168188650764,4.607168188650764,0.6871770135734415,0.691153161953081,3.383392757028649,0.691153161953081,4.607168188650764,4.42484663185681,4.137164559405029])",0.0
F096,"['clear', 'key', 'purpose.', 'series', 'necessary', 'study', 'task', 'type.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[503,1611,3131,3486,4224,4463,4921,5850,7281,7936,7979,8338,8451,8734,9700],[0.691153161953081,4.137164559405029,3.6516567436233283,2.849310271098391,4.270695952029551,4.42484663185681,2.849310271098391,0.691153161953081,0.6871770135734415,0.691153161953081,4.607168188650764,0.691153161953081,4.607168188650764,5.117993812416755,5.523458920524919])",0.0
R247,"['reality', 'list', 'camera', 'might', 'opportunity', 'state', 'notice', 'success.', 'hit', 'tv', 'husband', 'every', 'fast.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[680,1525,1650,1770,1808,3614,3924,4506,4547,4687,4831,6219,6976,7208,8252,8280,8728,9462,9681],[4.270695952029551,4.270695952029551,4.019381523748645,3.0385522707369192,4.137164559405029,0.6832166123573445,4.270695952029551,0.691153161953081,4.270695952029551,0.6871770135734415,5.523458920524919,2.958509563063383,4.137164559405029,3.6516567436233283,4.42484663185681,4.607168188650764,3.2721671219184243,0.691153161953081,3.914021008090819])",1.0
F226,"['science', 'foot', 'question', 'for.', 'enough', 'energy', 'indeed', 'month', 'people', 'either.', 'effort', 'stock', 'culture.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,793,2259,2947,3363,4241,4263,4748,4934,5703,5726,5741,5850,7281,7632,7890,7936,8307,8338,9813],[0.691153161953081,3.7316994512968646,2.7826188965997183,4.42484663185681,5.117993812416755,5.117993812416755,4.607168188650764,4.137164559405029,4.270695952029551,5.117993812416755,4.019381523748645,4.137164559405029,0.691153161953081,0.6871770135734415,4.607168188650764,3.7316994512968646,0.691153161953081,4.019381523748645,0.691153161953081,2.997730276216664])",0.0
F100,"['pay', 'see', 'relate', 'through.', 'car', 'guy', 'concern', 'ten', 'ability', 'focus', 'avoid.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']","(10000,[94,503,781,988,1175,1968,2918,3674,3681,3931,4897,5085,5354,5850,7281,7936,8338,9676],[4.607168188650764,0.691153161953081,5.117993812416755,3.914021008090819,5.523458920524919,3.914021008090819,3.0385522707369192,4.270695952029551,4.42484663185681,3.8187108282864943,4.019381523748645,4.137164559405029,4.42484663185681,0.691153161953081,0.6871770135734415,0.691153161953081,0.691153161953081,3.0385522707369192])",0.0
F246,"['well', 'appear', 'cut', 'join', 'happy', 'key.', 'north', 'training', 'nor.', 'popular', 'team', 'need', 'through.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[157,468,503,781,1206,1778,2259,4657,5347,5850,6148,6537,7281,7538,7936,8182,8338,8439,8952,9813],[3.8187108282864943,4.830311739964974,0.691153161953081,5.117993812416755,4.270695952029551,4.137164559405029,2.7826188965997183,4.830311739964974,4.137164559405029,0.691153161953081,3.914021008090819,3.914021008090819,0.6871770135734415,4.607168188650764,0.691153161953081,4.137164559405029,0.691153161953081,5.117993812416755,4.019381523748645,2.997730276216664])",0.0
F183,"['style', 'body', 'structure', 'eight', 'religious.', 'success', 'follow', 'radio', 'while.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,841,2996,5850,7281,7936,8000,8338,8391,8444,8482,9086,9367,9828],[0.691153161953081,2.958509563063383,4.42484663185681,3.6516567436233283,0.691153161953081,0.6871770135734415,0.691153161953081,4.42484663185681,0.691153161953081,4.42484663185681,5.117993812416755,3.914021008090819,4.019381523748645,4.270695952029551,3.7316994512968646])",0.0
R063,"['use', 'cause', 'can.', 'project', 'big', 'treat', 'bag.', 'dinner', 'face', 'foreign', 'community', 'cultural', 'happy', 'big.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[316,1247,1890,2230,2240,3048,3614,4034,4506,4687,5133,5347,5891,6206,6944,8174,8750,9233,9462],[4.42484663185681,5.523458920524919,5.117993812416755,4.137164559405029,3.8187108282864943,5.117993812416755,0.6832166123573445,3.914021008090819,0.691153161953081,0.6871770135734415,4.137164559405029,4.137164559405029,4.42484663185681,4.019381523748645,2.849310271098391,3.914021008090819,3.914021008090819,4.019381523748645,0.691153161953081])",1.0
R005,"['true', 'professor', 'manager', 'hour.', 'trip', 'guess', 'join', 'one.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[1652,2466,2543,3556,3614,4506,4687,5782,7188,7825,8660,8952,9462],[4.270695952029551,4.830311739964974,3.7316994512968646,2.8844015909096608,0.6832166123573445,0.691153161953081,0.6871770135734415,4.019381523748645,4.42484663185681,4.830311739964974,4.607168188650764,4.019381523748645,0.691153161953081])",1.0
R084,"['season', 'dream', 'risk', 'point', 'arrive.', 'agency', 'government', 'natural', 'teach.', 'audience', 'best', 'book', 'long', 'full.', 'tough', 'worker', 'difference', 'note.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[393,763,765,1312,2259,2358,2366,2676,3556,3614,4416,4506,4687,4988,5447,5459,5842,7866,8794,8904,8993,9462,9599],[4.270695952029551,4.019381523748645,4.137164559405029,4.137164559405029,2.7826188965997183,4.270695952029551,4.270695952029551,4.607168188650764,2.8844015909096608,0.6832166123573445,4.42484663185681,0.691153161953081,0.6871770135734415,4.019381523748645,3.4440173788450834,4.607168188650764,4.607168188650764,4.42484663185681,4.830311739964974,4.42484663185681,5.117993812416755,0.691153161953081,5.523458920524919])",1.0
R124,"['economic', 'lose', 'increase', 'quickly', 'half', 'increase', 'compare', 'product.', 'treat', 'newspaper', 'find', 'various', 'statement', 'nation', 'kid.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[856,1780,3238,3391,3614,4014,4270,4422,4506,4687,5047,6647,7510,7963,8750,9144,9246,9462,9817],[5.523458920524919,4.42484663185681,4.137164559405029,4.137164559405029,0.6832166123573445,4.270695952029551,5.117993812416755,5.117993812416755,0.691153161953081,0.6871770135734415,2.7200985396183848,4.270695952029551,4.42484663185681,8.03876304749729,3.914021008090819,2.7508701982851385,4.019381523748645,0.691153161953081,3.6516567436233283])",1.0
R118,"['investment', 'prevent', 'southern', 'local', 'significant', 'floor', 'finally.', 'air', 'maintain', 'continue', 'recent', 'account', 'leg', 'sense', 'community.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[88,228,743,1562,1619,3252,3614,3743,4319,4506,4687,4959,5247,5447,5591,6290,7066,8552,9187,9462],[3.914021008090819,4.270695952029551,3.914021008090819,4.42484663185681,5.117993812416755,4.42484663185681,0.6832166123573445,4.42484663185681,3.6516567436233283,0.691153161953081,0.6871770135734415,5.523458920524919,4.137164559405029,3.4440173788450834,4.830311739964974,4.019381523748645,2.8154087194227095,4.42484663185681,4.42484663185681,0.691153161953081])",1.0
F001,"['sell', 'street', 'school', 'young.', 'maybe', 'standard', 'human.', 'role', 'owner', 'fight.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,2679,2967,3350,3684,4485,4687,4818,5252,5850,6053,7281,7936,8338,8391],[0.691153161953081,2.958509563063383,4.42484663185681,4.42484663185681,3.8187108282864943,3.6516567436233283,3.8187108282864943,0.6871770135734415,4.607168188650764,5.117993812416755,0.691153161953081,3.7316994512968646,0.6871770135734415,0.691153161953081,0.691153161953081,4.42484663185681])",0.0
F007,"['executive', 'time', 'yeah', 'race', 'machine.', 'matter', 'head', 'debate', 'many', 'project.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[454,503,1064,1902,2066,2402,3249,5101,5188,5850,7281,7936,8157,8276,8338,9876,9966],[3.7316994512968646,0.691153161953081,4.270695952029551,5.523458920524919,2.7508701982851385,3.914021008090819,4.019381523748645,4.830311739964974,3.8187108282864943,0.691153161953081,0.6871770135734415,0.691153161953081,4.607168188650764,3.914021008090819,0.691153161953081,2.7508701982851385,4.270695952029551])",0.0
F046,"['positive', 'candidate', 'somebody', 'thought', 'model', 'choice.', 'none', 'husband', 'white', 'range', 'term.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[1,55,165,503,779,1208,3089,3184,4358,5843,5850,6533,7102,7208,7281,7936,8338,9831],[4.607168188650764,4.270695952029551,4.42484663185681,0.691153161953081,5.523458920524919,2.8844015909096608,4.270695952029551,2.849310271098391,4.270695952029551,4.607168188650764,0.691153161953081,4.830311739964974,4.607168188650764,3.6516567436233283,0.6871770135734415,0.691153161953081,0.691153161953081,3.6516567436233283])",0.0
R103,"['much', 'magazine', 'us', 'wide', 'stand', 'wide.', 'agreement', 'image', 'heart', 'family', 'others', 'citizen', 'hold.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[8,23,524,2836,3614,4321,4506,4687,5303,6660,6886,6940,7066,8297,8413,9462,9808],[4.019381523748645,4.42484663185681,3.8187108282864943,4.830311739964974,0.6832166123573445,5.523458920524919,0.691153161953081,0.6871770135734415,4.830311739964974,4.42484663185681,4.42484663185681,4.137164559405029,2.8154087194227095,3.914021008090819,6.888034757690167,0.691153161953081,4.019381523748645])",1.0
R037,"['level', 'sister', 'responsibility', 'ask.', 'turn', 'building', 'claim', 'deep', 'great', 'republican.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']","(10000,[750,1499,1762,2609,3502,3521,3614,3886,4506,4687,4991,5432,5852,5966,8937,9462],[4.607168188650764,4.830311739964974,4.607168188650764,4.607168188650764,4.019381523748645,4.42484663185681,0.6832166123573445,4.42484663185681,0.691153161953081,0.6871770135734415,2.6330871626287546,2.6902455764687034,4.830311739964974,4.830311739964974,5.117993812416755,0.691153161953081])",1.0
F193,"['garden', 'card', 'follow', 'employee.', 'husband', 'tonight', 'close', 'care', 'season', 'begin', 'positive.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,1513,2144,2358,3389,3497,3892,5310,5850,5936,6747,7208,7281,7801,7936,8338,8408,9367],[0.691153161953081,4.270695952029551,4.019381523748645,4.270695952029551,4.019381523748645,3.7316994512968646,2.5530444549552183,4.270695952029551,0.691153161953081,3.7316994512968646,2.5530444549552183,3.6516567436233283,0.6871770135734415,4.42484663185681,0.691153161953081,0.691153161953081,4.270695952029551,4.270695952029551])",0.0
R166,"['forward', 'thought', 'method', 'production.', 'range', 'side', 'something', 'action.', 'face', 'explain', 'hard', 'lot.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[55,165,1640,3556,3614,4034,4506,4687,5125,5341,6015,8411,8544,9213,9462,9781,9826],[4.270695952029551,4.42484663185681,5.523458920524919,2.8844015909096608,0.6832166123573445,3.914021008090819,0.691153161953081,0.6871770135734415,4.42484663185681,4.42484663185681,3.914021008090819,3.3262343431887,4.830311739964974,5.117993812416755,0.691153161953081,4.607168188650764,3.577548771469606])",1.0
F017,"['fear', 'particularly', 'street.', 'star', 'somebody', 'activity', 'activity', 'partner.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[503,2066,3089,4590,5170,5850,6443,7281,7936,8110,8338,9372,9513,9876],[0.691153161953081,2.7508701982851385,4.270695952029551,5.523458920524919,4.607168188650764,0.691153161953081,3.6516567436233283,0.6871770135734415,0.691153161953081,8.274329118810059,0.691153161953081,5.117993812416755,3.8187108282864943,2.7508701982851385])",0.0
R008,"['thus', 'nice', 'yet', 'and.', 'every', 'send', 'on.', 'soldier', 'past', 'adult', 'purpose', 'class', 'able.', 'experts', 'discuss', 'ongoing', 'developments', 'economic', 'growth.']","(10000,[72,2086,3370,3614,4007,4037,4141,4506,4687,5523,5611,5684,8089,8730,9034,9144,9275,9462,9681],[3.914021008090819,5.117993812416755,4.42484663185681,0.6832166123573445,3.914021008090819,3.914021008090819,4.137164559405029,0.691153161953081,0.6871770135734415,4.42484663185681,5.523458920524919,4.137164559405029,4.270695952029551,5.523458920524919,2.849310271098391,2.7508701982851385,4.42484663185681,0.691153161953081,3.914021008090819])",1.0
F071,"['seek', 'forget', 'summer', 'network', 'senior', 'part.', 'important', 'mention', 'wear.', 'car', 'american', 'operation.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[171,503,1967,2907,3486,3529,3674,4144,4903,4921,5850,5887,7146,7281,7652,7936,8338,9152,9481],[3.7316994512968646,0.691153161953081,4.019381523748645,4.42484663185681,2.849310271098391,4.607168188650764,4.270695952029551,4.607168188650764,5.523458920524919,2.849310271098391,0.691153161953081,4.019381523748645,4.830311739964974,0.6871770135734415,4.42484663185681,0.691153161953081,0.691153161953081,4.019381523748645,4.607168188650764])",0.0
